DATE,HOUR,habitacion
2009-10-17,17:32:20.000010,salon
2009-10-17,17:32:24.000063,baño
2009-10-17,17:34:33.000043,baño
2009-10-17,17:34:53.000004,dormitorio
2009-10-17,17:38:41.000077,dormitorio
2009-10-17,17:44:07.000078,television
2009-10-17,17:50:03.000017,television
2009-10-17,17:50:11.000036,cocina
2009-10-17,17:52:54.000025,cocina
2009-10-17,17:53:09.000073,television
2009-10-17,18:11:58.000032,television
2009-10-17,18:12:12.000044,cocina
2009-10-17,18:20:43.000070,cocina
2009-10-17,18:22:09.000037,television
2009-10-17,20:24:58.000098,television
2009-10-17,20:25:51.000090,dormitorio
2009-10-17,20:27:07.000086,dormitorio
2009-10-17,20:28:44.000066,television
2009-10-17,22:47:07.000061,television
2009-10-17,22:47:18.000065,baño
2009-10-17,22:49:02.000040,baño
2009-10-17,22:51:46.000038,television
2009-10-17,23:01:25.000040,television
2009-10-17,23:01:58.000017,cocina
2009-10-17,23:03:24.000084,cocina
2009-10-17,23:05:26.000058,salon
2009-10-17,23:09:20.000014,salon
2009-10-17,23:10:00.000069,baño
2009-10-17,23:15:48,baño
2009-10-17,23:15:54.000034,dormitorio
2009-10-17,23:30:25.000084,dormitorio
2009-10-17,23:30:29.000060,baño
2009-10-17,23:33:43.000024,baño
2009-10-17,23:33:43.000034,dormitorio
2009-10-18,08:01:00.000093,dormitorio
2009-10-18,08:01:05.000077,baño
2009-10-18,08:03:38.000030,baño
2009-10-18,08:03:54.000032,salon
2009-10-18,08:15:07.000033,salon
2009-10-18,08:15:27.000082,cocina
2009-10-18,08:22:10.000095,cocina
2009-10-18,08:22:12.000013,salon
2009-10-18,08:30:14.000006,salon
2009-10-18,08:30:16.000021,cocina
2009-10-18,08:32:20.000066,cocina
2009-10-18,08:32:24.000060,salon
2009-10-18,09:09:36.000008,salon
2009-10-18,09:09:36.000056,television
2009-10-18,09:15:18.000002,television
2009-10-18,09:15:18.000011,cocina
2009-10-18,09:32:12.000025,cocina
2009-10-18,09:35:48.000005,baño
2009-10-18,09:45:36.000014,baño
2009-10-18,09:45:36.000024,dormitorio
2009-10-18,09:53:49.000068,dormitorio
2009-10-18,09:53:50.000084,baño
2009-10-18,10:26:35.000068,baño
2009-10-18,10:31:12.000072,salon
2009-10-18,11:55:18.000092,salon
2009-10-18,11:55:34.000059,baño
2009-10-18,12:09:06.000079,baño
2009-10-18,12:13:54.000005,salon
2009-10-18,12:51:14.000034,salon
2009-10-18,12:51:19.000094,cocina
2009-10-18,13:27:01.000084,cocina
2009-10-18,13:27:07.000013,salon
2009-10-18,13:43:10.000064,salon
2009-10-18,13:43:44.000002,baño
2009-10-18,13:45:32.000010,baño
2009-10-18,13:58:41.000056,salon
2009-10-18,14:31:41.000012,salon
2009-10-18,14:31:46.000067,cocina
2009-10-18,14:34:12.000091,cocina
2009-10-18,14:36:19.000040,salon
2009-10-18,14:43:37.000007,salon
2009-10-18,14:45:29.000068,cocina
2009-10-18,14:50:32.000076,cocina
2009-10-18,14:50:35.000007,salon
2009-10-18,18:25:41.000059,salon
2009-10-18,18:25:45.000078,cocina
2009-10-18,18:37:22.000081,cocina
2009-10-18,19:24:55.000037,television
2009-10-18,21:05:00.000084,television
2009-10-18,21:05:11.000008,cocina
2009-10-18,21:12:51.000049,cocina
2009-10-18,21:14:07.000051,salon
2009-10-18,21:16:02.000017,salon
2009-10-18,21:17:45.000087,television
2009-10-18,21:19:48.000007,television
2009-10-18,21:19:53.000070,salon
2009-10-18,21:22:35.000098,salon
2009-10-18,21:25:53.000006,cocina
2009-10-18,21:27:18.000033,cocina
2009-10-18,21:31:07.000097,baño
2009-10-18,21:34:27.000091,baño
2009-10-18,21:34:57.000018,salon
2009-10-18,21:38:42.000017,salon
2009-10-18,21:39:58.000039,baño
2009-10-18,21:42:14.000051,baño
2009-10-18,21:42:19.000065,dormitorio
2009-10-19,08:15:12.000033,dormitorio
2009-10-19,08:15:19.000011,baño
2009-10-19,08:18:18.000051,baño
2009-10-19,08:18:32.000049,salon
2009-10-19,08:20:32.000046,salon
2009-10-19,08:20:35.000088,cocina
2009-10-19,08:25:54.000007,cocina
2009-10-19,08:25:56.000092,salon
2009-10-19,08:33:36.000067,salon
2009-10-19,08:33:41.000020,cocina
2009-10-19,08:52:36.000079,cocina
2009-10-19,08:52:37.000057,salon
2009-10-19,10:00:15.000026,salon
2009-10-19,10:00:16.000045,cocina
2009-10-19,10:11:07.000098,cocina
2009-10-19,10:12:39.000085,salon
2009-10-19,10:28:41.000017,salon
2009-10-19,10:28:44.000050,baño
2009-10-19,10:33:07.000001,baño
2009-10-19,10:33:11.000007,salon
2009-10-19,11:09:45.000010,salon
2009-10-19,11:13:00.000078,baño
2009-10-19,11:56:44.000001,baño
2009-10-19,11:56:50.000092,dormitorio
2009-10-19,12:01:57.000071,dormitorio
2009-10-19,12:02:01.000077,baño
2009-10-19,12:04:50.000064,baño
2009-10-19,12:04:55.000055,dormitorio
2009-10-19,12:06:02.000028,dormitorio
2009-10-19,12:06:28.000066,salon
2009-10-19,12:37:34.000025,salon
2009-10-19,12:37:50.000051,baño
2009-10-19,12:42:06.000020,baño
2009-10-19,12:42:10.000051,dormitorio
2009-10-19,12:44:37.000066,dormitorio
2009-10-19,12:44:41.000027,television
2009-10-19,12:56:58.000024,television
2009-10-19,13:32:37.000098,salon
2009-10-19,13:36:10.000053,salon
2009-10-19,13:36:12.000041,cocina
2009-10-19,14:34:54.000078,cocina
2009-10-19,14:35:34.000069,dormitorio
2009-10-19,15:01:33.000026,dormitorio
2009-10-19,15:01:38.000035,baño
2009-10-19,15:03:52.000007,baño
2009-10-19,15:06:07.000085,salon
2009-10-19,15:21:18.000083,salon
2009-10-19,15:25:56.000041,television
2009-10-19,15:27:45.000001,television
2009-10-19,15:27:54.000039,baño
2009-10-19,15:31:16.000035,baño
2009-10-19,15:32:18.000051,television
2009-10-19,16:02:59.000021,television
2009-10-19,16:03:02.000062,baño
2009-10-19,16:06:48.000029,baño
2009-10-19,16:10:33.000047,television
2009-10-19,16:39:50.000019,television
2009-10-19,16:39:50.000068,dormitorio
2009-10-19,16:46:36.000052,dormitorio
2009-10-19,16:54:09.000048,television
2009-10-19,17:08:09.000087,television
2009-10-19,17:08:29.000011,salon
2009-10-19,17:15:01.000092,salon
2009-10-19,18:13:23.000099,baño
2009-10-19,18:20:40.000079,baño
2009-10-19,18:21:38.000051,cocina
2009-10-19,18:44:09.000085,cocina
2009-10-19,18:44:18.000078,salon
2009-10-19,19:02:09.000044,salon
2009-10-19,19:03:07.000090,television
2009-10-19,19:41:22.000071,television
2009-10-19,19:41:33.000077,baño
2009-10-19,19:48:14.000049,baño
2009-10-19,19:48:33.000055,television
2009-10-19,20:35:08.000075,television
2009-10-19,20:36:24.000088,cocina
2009-10-19,20:45:24.000039,cocina
2009-10-19,20:47:11.000072,television
2009-10-19,20:53:04.000001,television
2009-10-19,20:53:08.000030,salon
2009-10-19,20:57:21.000049,salon
2009-10-19,20:58:04.000018,dormitorio
2009-10-19,21:00:24.000029,dormitorio
2009-10-19,21:00:30.000035,baño
2009-10-19,21:07:54.000003,baño
2009-10-19,21:08:07.000075,cocina
2009-10-19,21:12:27.000093,cocina
2009-10-19,21:13:19.000085,baño
2009-10-19,21:15:39.000074,baño
2009-10-19,21:15:50.000017,dormitorio
2009-10-20,05:38:02.000025,dormitorio
2009-10-20,05:38:06.000080,baño
2009-10-20,05:42:06.000085,baño
2009-10-20,05:42:08.000035,dormitorio
2009-10-20,10:26:09.000030,dormitorio
2009-10-20,10:27:49.000015,television
2009-10-20,10:29:55.000093,television
2009-10-20,10:30:03.000019,salon
2009-10-20,10:32:20.000009,salon
2009-10-20,10:32:25.000064,cocina
2009-10-20,10:36:56.000009,cocina
2009-10-20,10:38:38.000044,salon
2009-10-20,11:14:58.000072,salon
2009-10-20,11:14:59.000020,cocina
2009-10-20,11:32:45.000040,cocina
2009-10-20,11:33:58.000093,baño
2009-10-20,11:42:30.000029,baño
2009-10-20,11:42:34.000026,dormitorio
2009-10-20,11:44:27.000045,dormitorio
2009-10-20,11:44:40.000020,baño
2009-10-20,11:54:12.000010,baño
2009-10-20,11:54:16.000086,dormitorio
2009-10-20,11:58:27,dormitorio
2009-10-20,11:58:35.000012,television
2009-10-20,12:00:57.000066,television
2009-10-20,12:00:58.000085,dormitorio
2009-10-20,12:11:37.000007,dormitorio
2009-10-20,12:15:52.000034,television
2009-10-20,13:08:37.000007,television
2009-10-20,13:09:32.000005,cocina
2009-10-20,13:26:45.000075,cocina
2009-10-20,13:26:47.000001,salon
2009-10-20,13:33:46.000056,salon
2009-10-20,13:49:02.000080,cocina
2009-10-20,14:08:41.000065,cocina
2009-10-20,14:08:42.000080,salon
2009-10-20,14:15:27.000041,salon
2009-10-20,14:20:39.000070,baño
2009-10-20,14:22:00.000073,baño
2009-10-20,14:22:14.000015,dormitorio
2009-10-20,14:24:31.000070,dormitorio
2009-10-20,14:27:50.000066,salon
2009-10-20,14:33:47.000007,salon
2009-10-20,14:37:44.000033,dormitorio
2009-10-20,14:45:37.000033,dormitorio
2009-10-20,14:48:04.000060,salon
2009-10-20,14:50:55.000059,salon
2009-10-20,14:58:02.000081,baño
2009-10-20,15:13:46.000086,baño
2009-10-20,15:13:54.000045,dormitorio
2009-10-20,15:21:16.000088,dormitorio
2009-10-20,15:22:31.000078,salon
2009-10-20,17:07:00.000038,salon
2009-10-20,17:10:35.000046,cocina
2009-10-20,17:27:42.000050,cocina
2009-10-20,17:29:04.000010,salon
2009-10-20,17:46:38.000020,salon
2009-10-20,17:46:42.000014,cocina
2009-10-20,17:53:56.000082,cocina
2009-10-20,17:54:13.000074,salon
2009-10-20,18:02:30.000018,salon
2009-10-20,18:04:46.000089,cocina
2009-10-20,18:56:52.000049,cocina
2009-10-20,18:57:49.000027,television
2009-10-20,19:16:35.000090,television
2009-10-20,19:16:40.000070,dormitorio
2009-10-20,19:22:10.000049,dormitorio
2009-10-20,19:22:17.000039,television
2009-10-20,19:24:19.000034,television
2009-10-20,19:24:32.000077,baño
2009-10-20,19:52:54.000069,baño
2009-10-20,19:53:04.000051,television
2009-10-20,19:55:19.000083,television
2009-10-20,19:55:28.000029,baño
2009-10-20,19:58:58.000043,baño
2009-10-20,20:01:43,dormitorio
2009-10-20,20:04:15.000096,dormitorio
2009-10-20,20:05:27.000073,television
2009-10-20,20:13:59.000077,television
2009-10-20,20:14:02.000013,salon
2009-10-20,21:40:03.000011,salon
2009-10-20,21:41:55.000028,baño
2009-10-20,21:44:00.000002,baño
2009-10-20,21:44:05.000041,dormitorio
2009-10-20,21:46:13.000090,dormitorio
2009-10-20,21:46:31.000080,salon
2009-10-20,21:53:02.000067,salon
2009-10-20,21:54:01.000062,cocina
2009-10-20,21:59:05.000020,cocina
2009-10-20,22:05:26.000008,baño
2009-10-20,22:09:45.000007,baño
2009-10-20,22:11:44.000018,dormitorio
2009-10-21,07:04:07.000013,dormitorio
2009-10-21,07:04:09.000001,baño
2009-10-21,07:06:26.000075,baño
2009-10-21,07:06:27.000019,dormitorio
2009-10-21,08:41:11.000007,dormitorio
2009-10-21,08:41:20.000063,salon
2009-10-21,08:43:16.000055,salon
2009-10-21,08:43:24.000082,cocina
2009-10-21,08:47:16.000016,cocina
2009-10-21,08:47:19.000033,salon
2009-10-21,08:49:05.000042,salon
2009-10-21,08:52:58.000098,cocina
2009-10-21,09:20:32.000028,cocina
2009-10-21,09:20:34.000061,salon
2009-10-21,10:19:57.000077,salon
2009-10-21,10:20:00.000040,cocina
2009-10-21,10:28:16.000079,cocina
2009-10-21,10:28:40.000037,baño
2009-10-21,10:45:48.000049,baño
2009-10-21,10:45:51.000077,dormitorio
2009-10-21,11:44:58,dormitorio
2009-10-21,11:47:27.000058,baño
2009-10-21,11:49:22.000098,baño
2009-10-21,11:49:32.000084,dormitorio
2009-10-21,12:00:07.000065,dormitorio
2009-10-21,12:00:12.000005,baño
2009-10-21,12:21:58.000079,baño
2009-10-21,12:22:12.000055,cocina
2009-10-21,12:33:48.000083,cocina
2009-10-21,12:34:30.000093,baño
2009-10-21,12:38:53.000043,baño
2009-10-21,12:41:11.000055,salon
2009-10-21,13:07:36.000061,salon
2009-10-21,13:08:19.000085,television
2009-10-21,13:21:52.000095,television
2009-10-21,13:26:58.000003,baño
2009-10-21,14:03:18.000044,baño
2009-10-21,14:04:12.000029,cocina
2009-10-21,14:29:49.000099,cocina
2009-10-21,14:30:17.000038,baño
2009-10-21,14:32:20.000053,baño
2009-10-21,14:32:47.000048,salon
2009-10-21,15:18:53.000019,salon
2009-10-21,16:17:38.000070,television
2009-10-21,17:02:38.000013,television
2009-10-21,17:03:53.000042,dormitorio
2009-10-21,17:12:35.000037,dormitorio
2009-10-21,17:12:42.000052,baño
2009-10-21,17:14:28.000012,baño
2009-10-21,17:14:42.000060,cocina
2009-10-21,17:18:36.000058,cocina
2009-10-21,17:18:39.000053,salon
2009-10-21,17:27:40.000035,salon
2009-10-21,17:30:17.000052,television
2009-10-21,17:32:35.000020,television
2009-10-21,17:36:35.000058,salon
2009-10-21,17:38:15.000037,salon
2009-10-21,17:40:54.000064,television
2009-10-21,17:48:43.000025,television
2009-10-21,17:49:30.000035,cocina
2009-10-21,18:12:18.000013,cocina
2009-10-21,18:12:49.000029,salon
2009-10-21,18:20:44.000090,salon
2009-10-21,18:20:45.000035,cocina
2009-10-21,18:54:16.000071,cocina
2009-10-21,18:56:11.000005,television
2009-10-21,19:05:23.000086,television
2009-10-21,19:06:25.000043,salon
2009-10-21,20:26:03.000066,salon
2009-10-21,20:26:38.000083,baño
2009-10-21,20:28:09.000056,baño
2009-10-21,20:30:19.000047,cocina
2009-10-21,20:40:29.000003,cocina
2009-10-21,20:40:29.000081,salon
2009-10-21,21:53:20.000055,salon
2009-10-21,21:53:23.000081,cocina
2009-10-21,22:04:12.000059,cocina
2009-10-21,22:05:44.000009,salon
2009-10-21,22:09:43.000071,salon
2009-10-21,22:10:06.000089,dormitorio
2009-10-21,22:15:45.000074,dormitorio
2009-10-21,22:16:46.000061,salon
2009-10-21,22:25:38.000078,salon
2009-10-21,22:25:59.000042,baño
2009-10-21,22:39:08.000045,baño
2009-10-21,22:39:15.000059,dormitorio
2009-10-22,05:23:27.000052,dormitorio
2009-10-22,05:23:30.000036,baño
2009-10-22,05:29:05.000015,baño
2009-10-22,05:29:10.000093,dormitorio
2009-10-22,08:30:58.000038,dormitorio
2009-10-22,08:31:09.000005,salon
2009-10-22,08:42:47.000043,salon
2009-10-22,08:43:29.000080,dormitorio
2009-10-22,10:18:26.000002,dormitorio
2009-10-22,10:18:30.000095,baño
2009-10-22,10:20:25.000011,baño
2009-10-22,10:20:45.000060,cocina
2009-10-22,10:28:51.000018,cocina
2009-10-22,10:28:55.000053,salon
2009-10-22,10:30:40.000097,salon
2009-10-22,10:31:44.000039,cocina
2009-10-22,11:05:25.000048,cocina
2009-10-22,11:05:47.000020,baño
2009-10-22,11:23:22.000027,baño
2009-10-22,13:03:02.000085,salon
2009-10-22,13:34:03.000006,salon
2009-10-22,13:38:11.000020,television
2009-10-22,14:31:46.000049,television
2009-10-22,14:31:57.000062,baño
2009-10-22,14:33:10.000044,baño
2009-10-22,14:33:22.000032,television
2009-10-22,14:36:07.000070,television
2009-10-22,14:36:09.000092,salon
2009-10-22,15:00:29.000017,salon
2009-10-22,15:00:32,cocina
2009-10-22,15:12:02.000053,cocina
2009-10-22,15:12:06.000063,salon
2009-10-22,15:33:55.000041,salon
2009-10-22,15:33:55.000050,television
2009-10-22,16:21:47.000048,television
2009-10-22,16:22:50.000018,dormitorio
2009-10-22,16:25:59.000049,dormitorio
2009-10-22,16:30:03.000054,television
2009-10-22,17:21:20.000098,television
2009-10-22,17:23:43.000082,cocina
2009-10-22,17:25:44.000097,cocina
2009-10-22,17:25:51.000072,salon
2009-10-22,18:20:01.000071,salon
2009-10-22,18:21:53.000014,cocina
2009-10-22,18:26:34.000045,cocina
2009-10-22,18:26:49.000017,television
2009-10-22,18:44:13.000046,television
2009-10-22,18:44:41.000022,cocina
2009-10-22,18:51:35.000025,cocina
2009-10-22,18:51:37.000027,salon
2009-10-22,19:47:28.000067,salon
2009-10-22,19:49:09.000065,television
2009-10-22,19:51:59.000045,television
2009-10-22,19:52:49.000021,dormitorio
2009-10-22,19:54:08.000027,dormitorio
2009-10-22,19:54:33.000013,salon
2009-10-22,21:16:26.000066,salon
2009-10-22,21:16:56.000089,baño
2009-10-22,21:19:07.000026,baño
2009-10-22,21:21:28.000016,salon
2009-10-22,22:14:05.000078,salon
2009-10-22,22:15:09.000013,baño
2009-10-22,22:30:21.000055,baño
2009-10-22,22:32:00.000069,dormitorio
2009-10-23,04:00:26.000052,dormitorio
2009-10-23,04:00:32.000062,baño
2009-10-23,04:03:19.000080,baño
2009-10-23,04:03:25.000073,dormitorio
2009-10-23,08:02:36.000024,dormitorio
2009-10-23,08:02:46.000004,baño
2009-10-23,08:04:05.000017,baño
2009-10-23,08:04:48.000034,salon
2009-10-23,08:06:22.000031,salon
2009-10-23,08:06:24.000080,cocina
2009-10-23,08:12:05.000055,cocina
2009-10-23,08:14:02.000044,salon
2009-10-23,08:51:33.000016,salon
2009-10-23,08:51:36.000016,cocina
2009-10-23,09:21:27.000061,cocina
2009-10-23,09:22:00.000059,baño
2009-10-23,09:38:38.000082,baño
2009-10-23,09:41:35.000017,salon
2009-10-23,09:44:30.000078,salon
2009-10-23,09:48:46.000038,baño
2009-10-23,09:53:48.000046,baño
2009-10-23,09:56:52.000092,cocina
2009-10-23,10:01:02.000002,cocina
2009-10-23,10:03:17.000075,baño
2009-10-23,10:49:04.000003,baño
2009-10-23,10:49:36.000034,dormitorio
2009-10-23,10:51:12.000022,dormitorio
2009-10-23,10:51:18.000090,baño
2009-10-23,10:54:12.000059,baño
2009-10-23,10:56:54.000023,dormitorio
2009-10-23,10:58:27.000025,dormitorio
2009-10-23,10:58:45.000028,baño
2009-10-23,11:04:13.000013,baño
2009-10-23,11:04:16.000079,dormitorio
2009-10-23,11:07:30.000051,dormitorio
2009-10-23,11:16:46.000095,baño
2009-10-23,11:18:49.000063,baño
2009-10-23,11:18:54.000038,dormitorio
2009-10-23,11:20:47.000013,dormitorio
2009-10-23,11:23:02.000057,baño
2009-10-23,11:25:22.000098,baño
2009-10-23,11:25:47.000029,dormitorio
2009-10-23,11:27:44.000044,dormitorio
2009-10-23,11:27:54.000039,baño
2009-10-23,11:52:11.000077,baño
2009-10-23,11:57:30.000031,cocina
2009-10-23,12:11:53.000020,cocina
2009-10-23,12:16:45.000067,salon
2009-10-23,14:30:32.000037,salon
2009-10-23,14:30:37.000066,baño
2009-10-23,14:33:54.000010,baño
2009-10-23,14:34:11.000010,cocina
2009-10-23,14:36:45.000071,cocina
2009-10-23,14:38:28.000030,salon
2009-10-23,14:40:25.000037,salon
2009-10-23,14:40:30.000026,cocina
2009-10-23,14:53:05.000073,cocina
2009-10-23,14:54:42.000099,salon
2009-10-23,15:03:49.000078,salon
2009-10-23,15:03:56.000099,dormitorio
2009-10-23,15:06:52.000003,dormitorio
2009-10-23,15:10:37.000025,salon
2009-10-23,15:12:25.000099,salon
2009-10-23,15:17:07.000028,baño
2009-10-23,15:19:26.000090,baño
2009-10-23,15:21:46.000047,television
2009-10-23,15:25:04.000070,television
2009-10-23,15:25:42.000088,baño
2009-10-23,15:31:07.000082,baño
2009-10-23,15:38:34.000023,salon
2009-10-23,16:15:42.000083,salon
2009-10-23,16:16:26.000019,baño
2009-10-23,16:23:20.000064,baño
2009-10-23,16:25:12.000093,dormitorio
2009-10-23,16:28:07.000013,dormitorio
2009-10-23,16:33:30.000028,salon
2009-10-23,16:41:43.000055,salon
2009-10-23,16:47:03.000052,television
2009-10-23,17:21:56.000021,television
2009-10-23,17:23:39.000022,cocina
2009-10-23,17:28:21.000040,cocina
2009-10-23,17:28:41.000067,television
2009-10-23,17:56:09.000092,television
2009-10-23,17:57:36.000070,cocina
2009-10-23,18:13:34.000019,cocina
2009-10-23,18:13:36.000052,baño
2009-10-23,18:15:09.000099,baño
2009-10-23,18:15:26.000091,salon
2009-10-23,18:23:54.000035,salon
2009-10-23,18:23:58.000068,cocina
2009-10-23,18:35:49.000090,cocina
2009-10-23,18:40:29.000034,baño
2009-10-23,19:17:45.000020,baño
2009-10-23,19:19:05.000033,dormitorio
2009-10-23,19:22:39.000060,dormitorio
2009-10-23,19:22:55.000030,baño
2009-10-23,19:24:40.000045,baño
2009-10-23,19:24:45.000077,dormitorio
2009-10-23,19:26:58.000061,dormitorio
2009-10-23,19:40:40.000086,cocina
2009-10-23,19:42:39.000092,cocina
2009-10-23,19:42:43.000087,salon
2009-10-23,21:24:38.000069,salon
2009-10-23,21:27:48.000015,baño
2009-10-23,21:38:49.000098,baño
2009-10-23,21:38:55.000098,dormitorio
2009-10-24,05:26:19.000066,dormitorio
2009-10-24,05:26:21.000081,baño
2009-10-24,05:28:22.000056,baño
2009-10-24,05:28:23.000069,dormitorio
2009-10-24,08:15:25.000029,dormitorio
2009-10-24,08:15:48.000005,baño
2009-10-24,08:17:16.000010,baño
2009-10-24,08:17:31.000083,salon
2009-10-24,08:19:45.000090,salon
2009-10-24,08:19:55.000033,cocina
2009-10-24,08:22:56.000026,cocina
2009-10-24,08:22:59.000053,salon
2009-10-24,09:34:42.000036,salon
2009-10-24,09:34:46.000021,cocina
2009-10-24,09:57:21.000099,cocina
2009-10-24,09:58:25.000039,baño
2009-10-24,10:43:36.000099,baño
2009-10-24,10:43:58.000012,television
2009-10-24,11:39:46.000050,television
2009-10-24,11:39:48.000099,salon
2009-10-24,11:41:03.000078,salon
2009-10-24,11:42:32.000013,dormitorio
2009-10-24,11:45:09.000029,dormitorio
2009-10-24,11:45:20.000087,baño
2009-10-24,11:47:32.000030,baño
2009-10-24,11:50:34.000080,television
2009-10-24,11:52:07.000093,television
2009-10-24,11:52:29.000074,salon
2009-10-24,11:56:54.000096,salon
2009-10-24,12:04:58.000035,dormitorio
2009-10-24,12:14:33.000064,dormitorio
2009-10-24,12:17:27.000057,salon
2009-10-24,12:19:17.000038,salon
2009-10-24,12:22:16.000067,dormitorio
2009-10-24,13:08:25.000012,dormitorio
2009-10-24,13:23:18.000059,baño
2009-10-24,13:29:32.000089,baño
2009-10-24,13:32:08.000098,cocina
2009-10-24,13:43:58.000082,cocina
2009-10-24,13:44:00.000086,salon
2009-10-24,13:50:23.000008,salon
2009-10-24,13:53:42.000074,dormitorio
2009-10-24,13:55:35.000035,dormitorio
2009-10-24,13:57:20.000070,salon
2009-10-24,14:08:28.000069,salon
2009-10-24,14:10:07.000074,dormitorio
2009-10-24,14:23:17.000094,dormitorio
2009-10-24,14:23:30.000004,salon
2009-10-24,14:47:36.000085,salon
2009-10-24,14:48:02.000003,dormitorio
2009-10-24,14:51:41.000080,dormitorio
2009-10-24,14:52:12.000093,salon
2009-10-24,14:55:55.000081,salon
2009-10-24,14:57:13.000015,cocina
2009-10-24,14:59:27.000027,cocina
2009-10-24,14:59:27.000076,salon
2009-10-24,15:06:58.000088,salon
2009-10-24,15:11:11.000037,baño
2009-10-24,15:43:54.000098,baño
2009-10-24,15:47:36.000071,cocina
2009-10-24,15:49:57.000017,cocina
2009-10-24,15:50:20.000062,baño
2009-10-24,15:52:07.000078,baño
2009-10-24,15:54:29.000072,salon
2009-10-24,16:15:03.000015,salon
2009-10-24,16:16:27.000056,cocina
2009-10-24,16:32:40.000076,cocina
2009-10-24,16:32:42.000074,salon
2009-10-24,17:13:14.000024,salon
2009-10-24,17:15:53.000032,baño
2009-10-24,17:18:54.000055,baño
2009-10-24,17:18:57.000095,dormitorio
2009-10-24,17:20:19.000004,dormitorio
2009-10-24,17:20:23.000050,baño
2009-10-24,17:33:15.000072,baño
2009-10-24,17:36:58.000064,salon
2009-10-24,22:43:13.000094,salon
2009-10-24,22:43:25.000047,baño
2009-10-24,22:45:35.000050,baño
2009-10-24,22:48:55.000029,dormitorio
2009-10-24,22:50:11.000083,dormitorio
